pair,direction,entry_time,exit_time,entry_price,exit_price,size,pips,pnl,reason
GBPUSD,SHORT,2023-11-08 15:00:00,2023-11-08 16:00:00,1.22644,1.22812,0.1,-18.30000000000126,-19.000000000001258,SL/TP
GBPUSD,SHORT,2023-12-27 13:00:00,2023-12-27 15:00:00,1.27352,1.27546,0.1,-20.900000000000528,-21.600000000000527,SL/TP
GBPUSD,LONG,2024-01-04 13:00:00,2024-01-04 15:00:00,1.2690299999999999,1.26733,0.1,-18.499999999998128,-19.199999999998127,SL/TP
GBPUSD,SHORT,2024-02-01 15:00:00,2024-02-01 17:00:00,1.2659099999999999,1.2682,0.1,-24.400000000001253,-25.100000000001256,SL/TP
GBPUSD,LONG,2024-04-29 15:00:00,2024-04-30 08:00:00,1.2530000000000001,1.25348,0.1,3.299999999998139,2.5999999999981394,SL/TP
GBPUSD,LONG,2024-06-28 15:00:00,2024-06-28 16:00:00,1.26506,1.26343,0.1,-17.800000000000203,-18.500000000000203,SL/TP
GBPUSD,SHORT,2024-07-19 14:00:00,2024-07-22 01:00:00,1.29275,1.2934,0.1,-8.000000000000394,-8.700000000000394,SL/TP
GBPUSD,SHORT,2024-07-23 14:00:00,2024-07-24 08:00:00,1.29124,1.28953,0.1,15.599999999998783,14.899999999998784,SL/TP
GBPUSD,LONG,2024-08-13 13:00:00,2024-08-13 16:00:00,1.27846,1.2818100000000001,0.1,32.00000000000186,31.300000000001862,SL/TP
GBPUSD,SHORT,2024-08-29 14:00:00,2024-08-29 18:00:00,1.31852,1.31847,0.1,-1.0000000000011653,-1.7000000000011655,SL/TP
GBPUSD,SHORT,2024-09-23 14:00:00,2024-09-23 16:00:00,1.33127,1.33349,0.1,-23.700000000001108,-24.400000000001107,SL/TP
GBPUSD,LONG,2024-11-15 13:00:00,2024-11-15 15:00:00,1.26897,1.26502,0.1,-40.99999999999898,-41.69999999999898,SL/TP
GBPUSD,LONG,2024-12-09 13:00:00,2024-12-09 19:00:00,1.2765,1.27705,0.1,4.0000000000005045,3.3000000000005043,SL/TP
GBPUSD,SHORT,2025-01-31 15:00:00,2025-01-31 17:00:00,1.24134,1.24252,0.1,-13.299999999999589,-13.99999999999959,SL/TP
GBPUSD,LONG,2025-02-07 15:00:00,2025-02-07 17:00:00,1.24304,1.24244,0.1,-7.499999999999339,-8.199999999999338,SL/TP
GBPUSD,LONG,2025-03-04 15:00:00,2025-03-04 20:00:00,1.27222,1.27752,0.1,51.500000000000824,50.80000000000083,SL/TP
GBPUSD,SHORT,2025-03-31 13:00:00,2025-03-31 18:00:00,1.2938399999999999,1.28909,0.1,45.999999999998096,45.29999999999809,SL/TP
GBPUSD,LONG,2025-04-16 13:00:00,2025-04-16 18:00:00,1.32645,1.32449,0.1,-21.099999999999618,-21.799999999999617,SL/TP
GBPUSD,LONG,2025-04-25 15:00:00,2025-04-28 00:00:00,1.33229,1.33016,0.1,-22.799999999999653,-23.499999999999652,SL/TP
GBPUSD,LONG,2025-07-01 14:00:00,2025-07-01 16:00:00,1.37541,1.37304,0.1,-25.199999999999832,-25.899999999999835,SL/TP
GBPUSD,LONG,2025-11-13 13:00:00,2025-11-13 17:00:00,1.31478,1.3198400000000001,0.1,49.10000000000064,48.40000000000064,SL/TP
GBPUSD,LONG,2025-11-17 15:00:00,2025-11-17 21:00:00,1.3173,1.31464,0.1,-28.099999999998847,-28.79999999999885,SL/TP
USDJPY,SHORT,2023-03-24 15:00:00,2023-03-24 18:00:00,130.163,130.635,0.01,-48.699999999998,-4.9399999999998006,SL/TP
USDJPY,SHORT,2023-05-19 15:00:00,2023-05-19 18:00:00,138.553,137.684,0.01,85.39999999999998,8.469999999999997,SL/TP
USDJPY,SHORT,2023-05-26 15:00:00,2023-05-26 16:00:00,140.078,140.351,0.01,-28.799999999999613,-2.9499999999999615,SL/TP
USDJPY,LONG,2023-06-16 13:00:00,2023-06-16 18:00:00,140.936,141.826,0.01,87.49999999999864,8.679999999999863,SL/TP
USDJPY,SHORT,2023-08-18 13:00:00,2023-08-18 15:00:00,145.484,145.642,0.01,-17.299999999998704,-1.7999999999998706,SL/TP
