year_month,sentiment_ewma,ma_30,ma_90,volatility,momentum,date
2003-03,0.07656099761298979,0.046601307616176355,-0.08692649594096848,0.0250809402286742,0.08482406442082174,2003-03-01
2003-04,0.04207780284344151,0.06665049723163664,0.010475924677605906,0.013077279425943862,-0.035135192161852506,2003-04-01
2003-05,-0.017693037467720354,0.008383231596840537,0.04114957181408376,0.017139824600126283,-0.058548595882011015,2003-05-01
2003-06,-0.07981184177759358,-0.04855630896912739,0.008055433156457074,0.018662682429208263,-0.061389428876290376,2003-06-01
2003-07,-0.13288342921937005,-0.1083506882109812,-0.05050882695700606,0.014898965849852962,-0.05217605598692661,2003-07-01
2003-08,-0.19725468286099604,-0.16700208109055079,-0.10959245783524399,0.018742289303461133,-0.06250565539313549,2003-08-01
2003-09,-0.24284225551461422,-0.22285328484069258,-0.16728631073505787,0.012789041008695207,-0.044525978644289796,2003-09-01
2003-10,-0.27975705893431535,-0.2627715825391015,-0.21846559672087676,0.01063637979674476,-0.036270788252571136,2003-10-01
2003-11,-0.29260462890000444,-0.29141344142564696,-0.2597080715806567,0.0072919220421201894,-0.012282558857733394,2003-11-01
2003-12,-0.25405305108962073,-0.2724624639367954,-0.2759547954874874,0.012106737289489232,0.037966900850502985,2003-12-01
2004-01,-0.2626086108692685,-0.2529114055889721,-0.27194760131469203,0.006278694983012767,-0.009427579429617566,2004-01-01
2004-02,-0.3086329505422552,-0.2851389542711399,-0.26962188031865586,0.013851206995129888,-0.046211586752082694,2004-02-01
2004-03,-0.34614633025402,-0.3304401529252392,-0.28952110296245653,0.011154600122770338,-0.03757155344013524,2004-03-01
2004-04,-0.34088424432778897,-0.3484241738946344,-0.3218377736820501,0.0048281462350268384,0.005724891519120227,2004-04-01
2004-05,-0.2758866437100041,-0.309842143962339,-0.3298814377511456,0.01992956489242904,0.06420492976278977,2004-05-01
2004-06,-0.237266026628324,-0.2499911736280339,-0.3023371461369889,0.010843917454554406,0.037273123611248876,2004-06-01
2004-07,-0.24277428417203842,-0.23935855546239182,-0.2655324328518751,0.003689971810499454,-0.005500815613652831,2004-07-01
2004-08,-0.22583911385107044,-0.2380045042806206,-0.2419964149961651,0.005413890565294197,0.01705413964167806,2004-08-01
2004-09,-0.10741831314595478,-0.17564236512813025,-0.21770715260826115,0.03590889349909373,0.1179092786534098,2004-09-01
2004-10,0.048804260480682454,-0.0169690171378079,-0.14253170601011372,0.04600001488433848,0.15308253404577501,2004-10-01
2004-11,0.07954913867476089,0.0734094403335109,-0.037438523330985955,0.009257901702791943,0.028782166640081493,2004-11-01
2004-12,0.07995713691117358,0.07935745315079776,0.04699699094823726,0.004384451935801131,0.0005891190794651145,2004-12-01
2005-01,0.03563162281744133,0.06205236317279538,0.07195153201681885,0.014052105823404073,-0.04412757254538686,2005-01-01
2005-02,0.004285461517299237,0.010849217452525326,0.0511615976703673,0.014345398982855164,-0.032586855739273814,2005-02-01
2005-03,0.05540555973983387,0.030880101730359367,0.035555569756774555,0.016384042966698886,0.05042024806518541,2005-03-01
2005-04,0.07637437919820984,0.0697400587421135,0.03764247120002107,0.006310739771264134,0.02012845146086538,2005-04-01
2005-05,0.05433520150572793,0.06871914008527549,0.057083000286375495,0.007011386385750026,-0.02194149907082768,2005-05-01
2005-06,0.011574997833139906,0.03227828230083869,0.05703607538588071,0.012425972335154346,-0.04212649899188133,2005-06-01
2005-07,-0.06761246292815647,-0.026677918234281783,0.02427237889849656,0.023483482999331576,-0.0780948980396186,2005-07-01
2005-08,-0.16383768211426136,-0.11923897266947817,-0.039480174530789315,0.027536019049732834,-0.09313989741724414,2005-08-01
2005-09,-0.17495279129583044,-0.1833042058572682,-0.11155871342510651,0.015969273104436917,-0.009585167156878854,2005-09-01
2005-10,-0.06844900260855032,-0.12223501661498609,-0.14250852578617998,0.03245362538380122,0.1051257214223113,2005-10-01
2005-11,-0.028371040088708502,-0.03681185474302672,-0.11360799071522319,0.012220313509299094,0.03795183907073358,2005-11-01
2005-12,-0.0694825674767195,-0.04646334922046989,-0.0672387574664275,0.012746509653217601,-0.0406692976242128,2005-12-01
2006-01,-0.09110510592845743,-0.08832725549924429,-0.05721917462997699,0.00967073215651877,-0.01988283076176409,2006-01-01
2006-02,-0.07233930133396789,-0.07833621739796112,-0.07129165942899808,0.008185752758190095,0.019874248542648656,2006-02-01
2006-03,-0.10220521091697257,-0.08571974083462938,-0.0841258260148444,0.009197076956309563,-0.029461486726221953,2006-03-01
2006-04,-0.14715001194023197,-0.12645542873872045,-0.09705922764369171,0.013588414824682142,-0.04431420154205676,2006-04-01
2006-05,-0.1850479089703926,-0.16553504829849552,-0.12647751745581412,0.010975867789809784,-0.037436530046033624,2006-05-01
2006-06,-0.18715391479941892,-0.19397044726356055,-0.16266806498533765,0.009489321042958706,-0.001319488478285538,2006-06-01
2006-07,-0.14231727064798563,-0.16350715579775835,-0.17466807908885856,0.013410574533001799,0.044089907914072114,2006-07-01
2006-08,-0.14701600666322825,-0.13740694956477478,-0.16435474913391723,0.00806455183029107,-0.005807940535606776,2006-08-01
2006-09,-0.2008008987952514,-0.1744194130471586,-0.15767600095023104,0.015963458925919195,-0.05320501695358,2006-09-01
2006-10,-0.2539189882402083,-0.22860767852191435,-0.18053966028676866,0.015267179741978797,-0.05225691705480041,2006-10-01
2006-11,-0.30201462504884147,-0.28141121068046815,-0.22902988040905894,0.014607929327144815,-0.04721491196362962,2006-11-01
2006-12,-0.2632529015456148,-0.29253905810359127,-0.2683281114813762,0.014890220446007506,0.03872869242644734,2006-12-01
2007-01,-0.14619295098869237,-0.1988473246212323,-0.2578541710281772,0.03492383442583247,0.11368498641812874,2007-01-01
2007-02,-0.12620442466094645,-0.12690420832030633,-0.20676570343459444,0.009493500261588435,0.020192761198224572,2007-02-01
2007-03,-0.13694843951688226,-0.13619244996774404,-0.15564676788384282,0.007875595521246408,-0.010734898373398872,2007-03-01
2007-04,-0.12390453139944385,-0.1266818757139471,-0.1302251171514426,0.005814015566243102,0.01286211004417156,2007-04-01
2007-05,-0.15516551617373392,-0.13725218535618672,-0.13345307921461974,0.00949186371826727,-0.03092835636237184,2007-05-01
2007-06,-0.20390035706332696,-0.18206106548958992,-0.1486783216201131,0.01449603488319499,-0.0480365240894322,2007-06-01
2007-07,-0.23339046206484243,-0.21908076006212468,-0.18006837685523056,0.008323285024445036,-0.029041905550977437,2007-07-01
2007-08,-0.26399055214841033,-0.25070389905917,-0.21837419602140992,0.008654250276984606,-0.02949085712431169,2007-08-01
2007-09,-0.2980728429852924,-0.2801402269684085,-0.2506266940547737,0.010032033131496193,-0.033688631157500024,2007-09-01
2007-10,-0.3412443699051387,-0.3214083610775488,-0.2846168826224157,0.012703790925389088,-0.04243597483798003,2007-10-01
2007-11,-0.3523315535456508,-0.3514105066992668,-0.3182774242655387,0.004544699865616343,-0.01040820322777907,2007-11-01
2007-12,-0.279769472188434,-0.3217165720402406,-0.3319810277701288,0.022667627663863966,0.07188246181663273,2007-12-01
2008-01,-0.19419077062379494,-0.22922226469105608,-0.30003979724445123,0.024375471879577018,0.08217005404977105,2008-01-01
2008-02,-0.17611750294082285,-0.1795598868777739,-0.24271683334606536,0.006528529010737813,0.01763418203271301,2008-02-01
2008-03,-0.20347445009637757,-0.18942598986801829,-0.19951597524319875,0.008554129112651944,-0.026997232654780372,2008-03-01
2008-04,-0.2336524259366849,-0.21815110236280835,-0.19582194973609177,0.008628025854573946,-0.02965770767466751,2008-04-01
2008-05,-0.250988740815736,-0.24692527383359908,-0.21865248372196897,0.00659344464845426,-0.016718535573783763,2008-05-01
2008-06,-0.25064407723225307,-0.24994609861282574,-0.23880795335097632,0.002664585417838659,0.0002841687973417402,2008-06-01
2008-07,-0.24950110671834505,-0.24838492216966215,-0.24859571161571598,0.003948810533429691,0.0009511398220508052,2008-07-01
2008-08,-0.2572822242568797,-0.2564720907739077,-0.2516013187870225,0.0047966627079167705,-0.00723427647442895,2008-08-01
2008-09,-0.23489495529057092,-0.24676514450086143,-0.25058337557660176,0.006732077656459595,0.022241696482472872,2008-09-01
2008-10,-0.2172612625019052,-0.2231105847629474,-0.24204771449643425,0.005678580190348578,0.0171869569747649,2008-10-01
2008-11,-0.2423798001994856,-0.227132523838722,-0.23196270822680845,0.008233868799858218,-0.025244700449505067,2008-11-01
2008-12,-0.247559982112212,-0.24891139500519907,-0.23304731490711522,0.005911798093051237,-0.004757703601173187,2008-12-01
2009-01,-0.24046651191509627,-0.24514859313782736,-0.2409042829864408,0.0030168563950879147,0.006850828888263523,2009-01-01
2009-02,-0.23302356831603607,-0.23446297035178493,-0.24306615451042285,0.003763787640735574,0.007887916252874662,2009-02-01
2009-03,-0.20127568816673674,-0.2193153195623431,-0.23316297080794063,0.011285155779563303,0.031369328435287634,2009-03-01
2009-04,-0.20843948586592137,-0.1988861282384828,-0.21745043141673992,0.006621094006941178,-0.00799960968224267,2009-04-01
2009-05,-0.2495104291263937,-0.22909094479239692,-0.21552134097117645,0.011928828517458523,-0.04043134408098115,2009-05-01
2009-06,-0.30399007789655985,-0.27758555956005415,-0.23551722477850698,0.016154608581055573,-0.0537715364802913,2009-06-01
2009-07,-0.3308655227626875,-0.3215424205666731,-0.2768278479668927,0.007591869976225689,-0.02620090608540211,2009-07-01
2009-08,-0.31959361980787965,-0.32873921864919237,-0.31046229910338613,0.005382957518455811,0.011565272533320682,2009-08-01
2009-09,-0.2978827665719795,-0.3067630481817312,-0.3194321029713783,0.006116223033083342,0.021230799328397835,2009-09-01
2009-10,-0.2904188962915391,-0.2915012572120766,-0.308757655086212,0.00406366764597224,0.007139685684126003,2009-10-01
2009-11,-0.31462538056462297,-0.3015394063680336,-0.2996384213240161,0.00743391911780857,-0.02412028919957371,2009-11-01
2009-12,-0.3343866761459225,-0.32816558662274353,-0.3071511481965378,0.007176905078154636,-0.019296983974380157,2009-12-01
2010-01,-0.2539280591712783,-0.30284110401241837,-0.31147461379698566,0.025345109639503868,0.08001352171788786,2010-01-01
2010-02,-0.13462251145884194,-0.1883149513972214,-0.2741070905386855,0.03694373437461217,0.12204182766632822,2010-02-01
2010-03,-0.10453803764077473,-0.11504662783805622,-0.20380281896422886,0.00906182924675421,0.03258856276316911,2010-03-01
2010-04,-0.12611620303808715,-0.11059935177417654,-0.13787921792841001,0.008228915217060796,-0.021811798818936537,2010-04-01
2010-05,-0.1762266827571619,-0.15230256775026818,-0.12582968206771356,0.014471053671931623,-0.0492610235578261,2010-05-01
2010-06,-0.2369001126932779,-0.2069625409868023,-0.15715714613872758,0.017960327995215453,-0.05988085197877047,2010-06-01
2010-07,-0.2864953534000399,-0.26433503230823563,-0.20875844734058563,0.014070534553390919,-0.04870702604292003,2010-07-01
2010-08,-0.32212432792849577,-0.308490163072394,-0.26147584796270834,0.010417016525585656,-0.03413304144141283,2010-08-01
2010-09,-0.3334111474729139,-0.32746751510904964,-0.3011326568844212,0.0032332610689427767,-0.010909631712492021,2010-09-01
2010-10,-0.35186003185338477,-0.3432893413984998,-0.32685328975415145,0.005696834364374776,-0.01817405094585727,2010-10-01
2010-11,-0.32793016501664846,-0.3441372811793398,-0.33852418030979925,0.009791914646423565,0.024260835100317995,2010-11-01
2010-12,-0.30413249995911174,-0.31496148245118355,-0.3341408502376615,0.0066041429702671526,0.02334411167572129,2010-12-01
2011-01,-0.26552508279187814,-0.2837541115822986,-0.3135495165980692,0.01129230734858223,0.0375692468313495,2011-01-01
2011-02,-0.22791858291552067,-0.2449784958782148,-0.28130390985090503,0.012456214853409872,0.03858933058292339,2011-02-01
2011-03,-0.22805432789395905,-0.22871976884732897,-0.2531677643587756,0.004416423360600858,0.0008899117013119014,2011-03-01
2011-04,-0.21594603468011098,-0.22002063884142772,-0.2312812916147339,0.00506842871172438,0.012104042577146834,2011-04-01
2011-05,-0.20610797343818688,-0.21107419775710423,-0.21988380299641444,0.004012498170200917,0.009659196923068165,2011-05-01
2011-06,-0.19328132318026048,-0.20200049225934943,-0.2108483075212911,0.004591377382396536,0.012683541346013408,2011-06-01
2011-07,-0.17399696154936672,-0.1802901774561789,-0.19757684918138282,0.00593118675861131,0.01872500029331468,2011-07-01
2011-08,-0.16675065526839516,-0.17154520708688437,-0.18415211453199862,0.0028003491154933837,0.0071960801078698846,2011-08-01
2011-09,-0.17617181384648506,-0.16826232832517135,-0.17301454140148867,0.005451151456520042,-0.009675607080781993,2011-09-01
2011-10,-0.20606358185061868,-0.18997082426476028,-0.17660246484872286,0.00867073367947998,-0.02957178542144299,2011-10-01
2011-11,-0.2416971568049122,-0.22624420016192862,-0.19509059831015424,0.010234284935915895,-0.03496783135626936,2011-11-01
2011-12,-0.2668751396745203,-0.25758454191957153,-0.22511256829162324,0.008488544043879161,-0.02459548417283126,2011-12-01
2012-01,-0.2465848753386369,-0.2591830669387245,-0.24849198254675492,0.006532133857768534,0.020294264866827866,2012-01-01
2012-02,-0.2021346714963891,-0.22271200026777407,-0.24688293207043452,0.014226681368519041,0.044816305102919334,2012-02-01
2012-03,-0.19547754114288163,-0.19829840447402888,-0.22676048847373792,0.003746770328013055,0.007199099938565582,2012-03-01
2012-04,-0.19585216831978494,-0.19302652304868714,-0.2044077137546773,0.004557598572551514,-0.00047191643467568066,2012-04-01
2012-05,-0.19383449188943686,-0.19489999436499958,-0.19536569281931568,0.004139750701212467,0.001968103613868011,2012-05-01
2012-06,-0.2264405059398939,-0.20850817379979775,-0.19881032676856894,0.010477094980835525,-0.03262204468777261,2012-06-01
2012-07,-0.24082427609380466,-0.23651889120543762,-0.21349422027786683,0.004081787852124851,-0.01396622078743991,2012-07-01
2012-08,-0.24864198081690228,-0.24489353253346693,-0.23069420837567609,0.0024886464386189716,-0.007582920006520408,2012-08-01
2012-09,-0.2539470804880354,-0.2542362864665678,-0.2454962750295214,0.005186961708104513,-0.005239129061049127,2012-09-01
2012-10,-0.22960154583515682,-0.23973782176793437,-0.24636372450136862,0.007760494450408083,0.02374772363220624,2012-10-01
2012-11,-0.21362109516630573,-0.22060692687331176,-0.23809023438333377,0.005851638901329444,0.015786670901783206,2012-11-01
2012-12,-0.22734716723298193,-0.2203086225702706,-0.22654805915558002,0.005087050261245871,-0.0135145438876995,2012-12-01
2013-01,-0.24167830307762214,-0.23491592213019533,-0.22519247103301496,0.0049844231289027305,-0.013925743700933666,2013-01-01
2013-02,-0.21035954431212484,-0.23017647294021767,-0.22845472204912998,0.01182212107063385,0.031953076848768795,2013-02-01
